date,sise,trading
2012.11.21,4140 ,63799 
2012.11.22,4215 ,58243 
2012.11.23,4205 ,35734 
2012.11.26,4200 ,57800 
2012.11.27,4130 ,63972 
2012.11.28,4055 ,86960 
2012.11.29,4090 ,37339 
2012.11.30,4015 ,58440 
2012.12.03,4025 ,30673 
2012.12.04,4100 ,41120 
2012.12.05,4120 ,44501 
2012.12.06,4125 ,41892 
2012.12.07,4135 ,37124 
2012.12.10,4140 ,41500 
2012.12.11,4090 ,35179 
2012.12.12,4110 ,25041 
2012.12.13,4250 ,91016 
2012.12.14,4425 ,190670 
2012.12.17,4560 ,277946 
2012.12.18,4530 ,152963 
2012.12.20,4605 ,145830 
2012.12.21,4480 ,87874 
2012.12.24,4480 ,52379 
2012.12.26,4520 ,45520 
2012.12.27,4430 ,39947 
2012.12.28,4400 ,29218 
2013.01.02,4410 ,49593 
2013.01.03,4455 ,41611 
2013.01.04,4385 ,40747 
2013.01.07,4395 ,31271 
2013.01.08,4375 ,32139 
2013.01.09,4585 ,177232 
2013.01.10,4710 ,287412 
2013.01.11,4705 ,126663 
2013.01.14,4710 ,83343 
2013.01.15,4770 ,226630 
2013.01.16,4800 ,112291 
2013.01.17,4835 ,83864 
2013.01.18,4835 ,88518 
2013.01.21,4885 ,96673 
2013.01.22,4940 ,143288 
2013.01.23,5020 ,185075 
2013.01.24,5000 ,133378 
2013.01.25,4960 ,117168 
2013.01.28,5010 ,95270 
2013.01.29,4985 ,47440 
2013.01.30,4935 ,95875 
2013.01.31,4950 ,36229 
2013.02.01,4925 ,42499 
2013.02.04,5090 ,148004 
2013.02.05,5370 ,350618 
2013.02.06,5260 ,638142 
2013.02.07,5070 ,308544 
2013.02.08,5050 ,125671 
2013.02.12,5090 ,155485 
2013.02.13,5000 ,120914 
2013.02.14,4810 ,262867 
2013.02.15,4995 ,236417 
2013.02.18,4990 ,91523 
2013.02.19,5000 ,196011 
2013.02.20,5160 ,206205 
2013.02.21,5190 ,121656 
2013.02.22,5270 ,173200 
2013.02.25,5290 ,74343 
2013.02.26,5480 ,245459 
2013.02.27,5540 ,195881 
2013.02.28,5580 ,111590 
2013.03.04,5410 ,93584 
2013.03.05,5390 ,83425 
2013.03.06,5630 ,108344 
2013.03.07,5630 ,74671 
2013.03.08,5600 ,61792 
2013.03.11,5930 ,861254 
2013.03.12,5880 ,227603 
2013.03.13,5960 ,150517 
2013.03.14,6000 ,77603 
2013.03.15,6080 ,135570 
2013.03.18,5880 ,127117 
2013.03.19,6100 ,157557 
2013.03.20,6100 ,121276 
2013.03.21,6110 ,137635 
2013.03.22,6150 ,64568 
2013.03.25,6430 ,201543 
2013.03.26,6640 ,222832 
2013.03.27,6550 ,148997 
2013.03.28,6570 ,97090 
2013.03.29,6780 ,157619 
2013.04.01,7010 ,283881 
2013.04.02,6970 ,178145 
2013.04.03,7250 ,276146 
